name,display_name,is_active
Pacific/Chatham,Pacific/Chatham (GMT+12:45),true
Pacific/Chuuk,Pacific/Chuuk (GMT+10),true
Pacific/Easter,Pacific/Easter (GMT-5),true
Pacific/Efate,Pacific/Efate (GMT+11),true
Pacific/Enderbury,Pacific/Enderbury (GMT+13),true
Pacific/Fakaofo,Pacific/Fakaofo (GMT+13),true
Pacific/Fiji,Pacific/Fiji (GMT+12),true
Pacific/Funafuti,Pacific/Funafuti (GMT+12),true
Pacific/Galapagos,Pacific/Galapagos (GMT-6),true
Pacific/Gambier,Pacific/Gambier (GMT-9),true
Pacific/Guadalcanal,Pacific/Guadalcanal (GMT+11),true
Pacific/Guam,Pacific/Guam (GMT+10),true
Pacific/Honolulu,Pacific/Honolulu (GMT-10),true
Pacific/Kiritimati,Pacific/Kiritimati (GMT+14),true
Pacific/Kosrae,Pacific/Kosrae (GMT+11),true
Pacific/Kwajalein,Pacific/Kwajalein (GMT+12),true
Pacific/Majuro,Pacific/Majuro (GMT+12),true
Pacific/Marquesas,Pacific/Marquesas (GMT-9:30),true
Pacific/Midway,Pacific/Midway (GMT-11),true
Pacific/Nauru,Pacific/Nauru (GMT+12),true
Pacific/Niue,Pacific/Niue (GMT-11),true
Pacific/Norfolk,Pacific/Norfolk (GMT+11),true
Pacific/Noumea,Pacific/Noumea (GMT+11),true
Pacific/Pago_Pago,Pacific/Pago_Pago (GMT-11),true
Pacific/Palau,Pacific/Palau (GMT+9),true
Pacific/Pitcairn,Pacific/Pitcairn (GMT-8),true
Pacific/Pohnpei,Pacific/Pohnpei (GMT+11),true
Pacific/Port_Moresby,Pacific/Port_Moresby (GMT+10),true
Pacific/Rarotonga,Pacific/Rarotonga (GMT-10),true
Pacific/Saipan,Pacific/Saipan (GMT+10),true
Pacific/Tahiti,Pacific/Tahiti (GMT-10),true
Pacific/Tarawa,Pacific/Tarawa (GMT+12),true
Pacific/Tongatapu,Pacific/Tongatapu (GMT+13),true
Pacific/Wake,Pacific/Wake (GMT+12),true
Pacific/Wallis,Pacific/Wallis (GMT+12),true
